comment,complaint_cluster
الفراخ مش مستويه والاكل طعمه وحش جدا !!!,طعم_سيئ
الطعم سيئ,
الساندوتش كان سي جدا,
البطاطس سيئه,
الأوردر جيد إلي حد ما ولكن لم يكن هنالك تتبيلة في قطع الاستربس,
الوجبه لذيذه، تنفيذ للملاحظات شكرا,
الاكل جي بارد,حرارة_غير_مناسبة
تحفه بس الاكل بيوصل بارد,حرارة_غير_مناسبة
الطلب اتاخر جدا اخد ساعه وحاجه وتاني حاجه انا طالبه كابل كومبو سوبرم الطلب جاني تويستر تجربه سيئه ومش حيتم التكرار,
الطلب ناقص ال ساندوتش,طلب_غلط
سئ وبارد جدا و الرز بايت ..,حرارة_غير_مناسبة
اسوأ حاجه كلتها فراخ مجلده و مش نضيفه بطلت اجيب تاني بجد,
تحفة♥️♥️,
هو الاكل حلو اه بس كان ساقع اوي لان التوصيل اتأخر جدًا ودي حاجة بتخلي التجربة مش الطف حاجة,حرارة_غير_مناسبة تأخير_طلب
الاكل جه بارد جدا واتأخر الاوردر كتير ، ع عكس م كنت متوقع الفراخ طلعت باردة والطعم اتأثر كتير,حرارة_غير_مناسبة تأخير_طلب
تعبت لمدة أسبوع اسهال وكنت همووت,تسمم_غذائي
الدليفري اتأخر جدا,تأخير_طلب
الرز طعمه بايظ,فساد_الطعام
طيار وقح,
كمية الزيت في البطاطس كتيره جدا,
الاكل كان زبالة بطني فشخاني منكوا لله حسبي الله و نعم الوكيل,
الاكل بارد جدا وطعمه مش حلو,حرارة_غير_مناسبة
.,
I’m,
بقالي كزا سنة بطلب اول مرة يجي الاورد بالسوء ده كله زيت وملوش طعم والاستربس بيشد كأنه كاوتش وبطاطس تعتبر نية ومزيتة مستواكم بيقل بجد لازم تعيدو النظر لأن الي هيشتري مرة بالمنظر ده مش هيكررها خصوصا أن الاكل مش رخيص,طعم_سيئ
الطلب تأخر طلبت جهينه بدل الكولا وجاء كولا,
C,
الاكل وصل بارد وطعمه كان سيء,حرارة_غير_مناسبة
الاكل ساقع جدا جدا,حرارة_غير_مناسبة
المطعم بيتجاهل التعديلات المطلوبة,خدمة_سيئة
كان يفضل استبدال كاتشب هاينز بنوع ثاني لانه مقاطعة+ شكرا على قراءتكم الدائمة واهتمامكم بالملاحظات,
عندكم مشكلة صغيرة عدم اضافة صوصات للساندوتشات الموجودة فى العروض معرفش ليه,كمية_قليلة
الاكل تحفة و سخن,
التتبيله تحفه ياريت متغيروهاش,
البطاطس كانت ساقعة لكن بقية الاكل كويس,حرارة_غير_مناسبة
الاكل بقي سيئ جدا جدااااا والفراخ اللي كنتوا بتعملوها احسن من كنتاكي بقت سيئة! والفراخ مش مقرمشة وحاجة فعلا في منتهي السوء! مفيش مطعم في اسكندرية بيحافظ علي جودته! ابدا!,
💯,
الدجاج كانت كلها طعمها كانها بايته اسبوع وحتى كان فيه قطع سوده والعضم كله اسود والبطاطس كانت بااارده جدا مع اني فنفس شارعهم فهي مش حوار التوصيل هما مطلعنها بارده حتى اشيز صوص الي عليها مش سخن ومتكتل والكولسلو وجعلي بطني جدا بعد م كلته !!,حرارة_غير_مناسبة
العيش ضعيف و خفيف مش ماسك نفسه و معجن و الفراخ مهرية و زفرة و الطماطم حامضة bread is weak and light its cut flaky chicken is maherya tomamto is hamda,طعم_سيئ
الاكل جاي بارد وملهوش طعم واخر معاملة ان شاء الله 🙂,حرارة_غير_مناسبة
تم طلب قطع الدجاج عادي وليس حار ولكن الطلب اللي وصلني للأسف حا ودي مش اول مرة يحصل نفس الغلطة,طعم_سيئ طلب_غلط
Rizo kan metbhdel keda w sauce maknsh kter,
جوده الفراخ سيئه و مليء بالزيت,
طلبت سينجل بوكس قطعتين فراخ صغيرين جدا منهم جناح مفيهوش حاجة تتاكل الصراحة سيئ جدا مكنتش اتوقع كده ابدا,كمية_قليلة
الصراحة الاكل كان حلو و سخن و كمان ف اوفر حلو اوى و الطيار وصل بسرعة التعليق الوحيد على البطاطس كانت غامغة بس سخنة,
الرز معجن,
للاسف المرة دي كان سئ و الفراخ غامقة و بتشد مش طازة,طعم_سيئ
الاكل كان بارد ومكنش حلو,حرارة_غير_مناسبة
الصوره والاكل شئ تاني خالص,
أتمنى إضافة تقيم بالسالب لمثل هذه المطاعم التي لا ترقى الى ان تحصل على تقييم برقم موجب من سيء لأسوأ دائما! أتنبأ لهذا المطعم بالآتي، أولا لن يستمر حتى عام ٢٠٢٥، بالكاد سيصمد في ٢٠٢٤، ثانيا سيكون من أكثر المطاعم صاحبة التقييمات السلبية خلال العام القا...,طعم_سيئ
هذا أسوأ دجاج مقلي آكله في حياتي! استأذن إدارة الأبلكيشن لو يضيفوا تقييم بالسالب عشان نعرف نقيم المطاعم ال بتقدم قرف زي المطعم دا. انتوا لو تقلبوني ف الف جنيه وماكلش القرف ال انا لسة أكله دا يكون افضل ليا!! آخر مرة اطلب بعد هذا المستوى الرديء والبشع,طعم_سيئ نظافة_سيئة
الطيار محترم جدا وووصل بسرعه ربنا يوفقه❤️,
وحش اوي و الفراخ محروقه بجد و ناشفه,فساد_الطعام حرارة_غير_مناسبة
الاكل جميل جدا لكن مجاش معاه معلقة ولا مناديل معطرة,
الفراخ مكنتش طازة و البطاطس مزيته,
مش حلو تمامن 👎🏻,
الاوردر اخد 1:40 ساعة و اربعين دقيقة من الازاريطة لمحرم بك!!!!,
عظيم,
الأكل كويس وسخن وكل حاجة بس عادي جدا يعني الصراحة التتبيلة بتاعته عادية البركة وكنتاكي احسن بكتير الصراحة ..,نظافة_سيئة
بصراحة الاكل كان مش حلو خالص و البطاطس كنت طالبها فاملى جايالى صغيرة جدا جدا و بيقلوالى هى دى الفاملى بصراحة مستواكم بقى سيئ جدا جدا,كمية_قليلة
لم يصل,
بجد اول مره يجيلي اوردر بالشكل دا انا زعلانه جدا لان فايف روسترز كويس جدا معرفش ايه حصل معايا دا,طعم_سيئ
الطعام بارد جدا,حرارة_غير_مناسبة
الساندوتش كان فاضي مفهوش فراخ,
الأكل وصل متأخر جدا بالتالي كان بارد و البطاطس نزلت مياه و جينا ناكل كان الاوردر سبايسي و الي وصل اوريجينال و كانت فراخ زفرة جدااا,حرارة_غير_مناسبة تأخير_طلب
سئ للغايه ولا يتناسب مع السعر,
البطاطس ماكانتش طازه و كانت مجلدة,
الاكل سئ و ناقص,طلب_غلط
الفراخ مزيته و ريحتها زفره والعيش مش حلو خالص,
البطاطس كانت بايته ومتسخنه,
العيش كان مش طازج,
السندوتشين صغيرين خالص غير العادي منهم,كمية_قليلة
القطع الاستربس حجمهها صغيرة جدا,كمية_قليلة
حلو بس الكوكاكولا حجمها صغير وقطع الاستبرس حجمها صغير عما قبل ذلك,كمية_قليلة
وقت التوصيل كان طويل جدا,
كان فيه حاجات كتير ف الاورد ناقصة,طلب_غلط
للاسف الرز مالح جدا وفيه شطة وفيه كمية ملح غير عادية برغم اني طالب الاوردر عادي ارجو في المرات القادمة الالتزام بتعليمات الطهي,طعم_سيئ
الاوردر صغير جدا وقطع الفرخ صغيره,كمية_قليلة
السوبر ريزو جميل جدا والصوص كتير جدا مش قليل ووصل بسرعة,كمية_قليلة
سخن وممتاز بس القطعه كانت صغيره شويه الاستربس,كمية_قليلة
الاوردر كان سيء والاكل طعمه غريب واترمى كله مع ان اسعاره غاليه جدا مقارنه بمطاعم اشهر منه للفرايد,طعم_سيئ سعر_غالي
الفراخ بارده جدا والعيش سئ جدا جدا تقريبا كان بايت الصوص كان مياه مش صوص,حرارة_غير_مناسبة
مينفعش اديلكم الدرجة الكاملة علشان الكمال لله وحده بس الصراحة الاكل كان جامد,
الفراخ كانت بدمها و مش نضيفه خالص و التويستر عيشه وحش جدا و تجربه سيئه للغايه.,
الساندوتش كان لذيذ بس الفرايز كانت بشعة جداً وشاربة زيت,
onion rings سيئة جداااا,
الاوردر مكنش كامل !!!,
اوردر يقرف,نظافة_سيئة
الاستربس مش طازه و العيش مش طازه,
N,
الساندويش مش مقفول كويس بيقع منه الاكل و في واحد جاي سبايسي و انا طلبته عادي,
delivery 👨 مش محترم,
الاكل كله زيت و الفراخ فيها ريحه زفاره رهيبه للاسف اول مره ارمي الاكل بسبب الزفاره بجد حرام فيه الفلوس لو في اقل من نجمه ف المطعم ده يستحقها,طعم_سيئ
طلبت عدم وجود اجنحه فى الاوردر ومع ذلك تضمن الاوردر جناحين كما ان حجمجم قطع الدجاج صغير جدا,كمية_قليلة
بجد تحفة الساندويش مليان و التغليف جميل و الاكل سخن و الطعم تحفة بجد حلووووو اوي,
الاكل حلو مفهوش غلطه,طلب_غلط
.طلبت عدم وجود اجنحه ومع ذلك تم ارسالها فى الاوردر,
😘😘😘,
ناقص قطعه من كل وجبه,طلب_غلط
..,
طلبت من المطعم عرض الكل في واحد جالي 4 قطع فراخ بس من غير ال strips و طعم الفراخ زفر و وحش جداً جداً بجد اخر تجربة ليا في المطعم 👎,
الفراخ مليانة زيت,
الستربس بايت وكمان طلبت حاجه وجه حاجه تانيه,
مش احسن حاجه الاكل,
انا طالباه عادي جاه حار ودي تاني مرة,طعم_سيئ
الاكل كان مالح جدا جدا !!!,طعم_سيئ
الاوردر تمام بس الجبنة البضة بالزعتر دي مش حلوة خالص,
الاكل. تحفه و مطلعم محترم و طيار محترم جداا,
انا طلبت الوجبه ال ١٥ قطعة و استنيت علي الاوردر ساعتين عشان يوصل و في الاخر جات الوجبه قطعه واحده صدر و الباقي اجنحه و دبابيس,تأخير_طلب
الاكل جه ناقص,طلب_غلط
اكتر من نصف الوجبه أجنحة ودبوس,
الاكل مش مستوى,
الفراخ مش مستوية وحاجة منتهي القرف لجد,نظافة_سيئة
كانت نيئة,
الفراخ البروست حجمها صغير جدا مقارنة بسعرها,كمية_قليلة
الاوردر كله بارد جدا والطعم سيئ جدا اول واخر مره,طعم_سيئ حرارة_غير_مناسبة
الفراخ شاربه زيت و دافيه مش سخنة تحس انها متسخنه مش لسه طالعه م الزيت و للاسف الاوردر من ١٠ قطع فيه ٦ منهم قطع صغيرة .. تجربة مؤسفه جدا برغم ان التتبليه حلوة بس ككل تجربه سيئه,حرارة_غير_مناسبة كمية_قليلة
الاوردر وصل ناقص,طلب_غلط
سرعه وجوده واداء فوق الرائع ربنا يوفقكم,
طعم الزيت كان باين فالفراخ بس شويه وعموما كان كويس شكرا 🤍,
ممتاز,
الصوص الجبنه جاي غلط جاي صوص تاني,طلب_غلط
اتبعتلي رانش صوص بدل صوص جبنه ...الاودر جي من غير معالق او شوكه,
الفراخ مزيتة جدا ، و مطلوبة سبايسي جات عادية,
الاكل جميل جداً بس الاوردر اخد ساعة لحد ما وصل مع اني في الطبيعي لما بطلب من المطعم بصورة مباشرة بيوصل أسرع بكتير.,
طلب خاطئ من المطعم,
الفراخ زيرو تتبيلة حرفيًا وزفرة وريحتها تقرف بجد مش متعودة على المستوى ده أبدًا,نظافة_سيئة
التوصيل اتاخر ساعه الا ربع كامله,
الطلب اتأخر ساعة تواصلت مع الطيار اكثر من مرة و كان متعمد التاخير الطلب ناقص كول سلو و تم تغيير حاجات بدون الرجوع ليا تغليق الطلب سئ و لتأخر التوصيل التغليف كان بايش أسوأ اوردر من المنيوز,طعم_سيئ تأخير_طلب طلب_غلط
احلى تتبيلة دوقتها في اسكندرية بعد كنتاكي و مقربين من طعم كنتاكي جدا و الفراخ كبيرة و نضيفة و الريزو جميل و ال onion rings حلوة برضه و الصوصات و الستريبس احلى من كنتاكي حتى,
دينر بوكس الدجاج صغير ومحروق,حرارة_غير_مناسبة كمية_قليلة
الاكل تحفه بجد ونضيف جداً ❤️❤️❤️ تعامل الديلڤري محترم ولذيذ جداً بس المشكلة في تاخير وقت التوصيل 🥲,
عدت اليكم في ريفيو جديد 😂🙏 التتبيلة لذيذة والسبايسي درجته معقولة الكرانشي عظيم جدا الفراخ نفسها بقا كانت مش احسن حاجه وكان فيها عروق كتييير. كمجمل اعطيها 8.5 من 10,
الفراخ مكنتش مستوية,
طلبنا بيبسي وميرندا تفاح والاتنين وصلو سبرايت !؟,
مندوب التوصيل اسلوبه سئ جدآ واحد صايع بيكلمني و الاوردر اتأخر جدا عليا,تأخير_طلب
لقيت قطعه حديد صغيره داخل الفراخ,كمية_قليلة
الاكل كان حلو و الstrips طعمها حلو جدا بس الصوص و الجبنة كانوا محتاجين يكونوا اكتر و ال offer نفسه محتاج يكون متنوع اكتر يعني ممكن ٢ ساندوتش و ٢ ستريبس او بطاطس او Fried piece او drink معاه لكن ٤ سندوتشات كتير و للاسف وصف ال offer يلغبط,
الاكل بارد جدا,حرارة_غير_مناسبة
الاكل مش سخن خالص … بطاطس سيئة ولونها غامق وكلها زيت وفعلا الاوردر سئ جدا الساندوتش مالوش طعم وفراخ دي مش فريش,حرارة_غير_مناسبة
فييين الكولا,
G,
طلبت اوردر وجالى لعبه بنت وانا طالبه لعبه ولد وبعد التواصل مع المنيو اتقالى ان مفيش لعبه ولد إزاى معرفش يعني انا دافعه تمن الاوردر كامل عشان يجيلي لعبه بنت 😡😡يعني إبني يلعب بعروسه 😡😡مش قادرين توفرو لعب ولادي ياريت تقولو أو تجيبو لعبه محايده,
مش عارف اطلب من فرع الازاريطة عن طريق البرنامج ولازم اتصل !,
الاوردر سئ جدا وصل بارد و متاخر جدا و الكميات قليله جدا,حرارة_غير_مناسبة كمية_قليلة
المره دي كويس الحمدلله 👍,طعم_سيئ
حلو جدا ولا مره طلبت وكان وحش وبيوصل بسرعه ومستوي جدا ولون الفراخ مفهوش اي دم بالنسبه لكل حاجه بس مره طلبت وجا ورك ف الاكل مش مستوي كويس,طعم_سيئ
الفراخ فيها شعر وتقرف وجيبين صوص غلط,نظافة_سيئة طلب_غلط
hlw,
الفراخ بقت زفرة جدا و ريحتها صعبة و الوردر اتاخر ساعتين,
سئ للاسف .. الاوردر جه مش زي ما طلبته و العلب بتاعت الغريزة مطبقة غير أن الاكل بارد و الكوكا سوخنة جدا مفيش كاتشاب كفاية .. مع أن بنجيب منه كتير حتي المولتن كيك ببعت اجيبها منه بس للاسف المره دي سئ,طعم_سيئ حرارة_غير_مناسبة
gmel,
الاكل كان وحش جدااا جداااا بايت وجاي متسخن وناشف ولونه غامق من جوة طبعاا من اعادة تسخينة مرة تانية بجد مش اول مرة يحصل معايا كده من فرع الازاريطة وطلبت من خدمة العملاء يجبولي الاوردر من فرع سموحة ورفضوا وقالولي بنتعامل مع الفرع ده بجد دي اخر مرة اطلب,طعم_سيئ فساد_الطعام
عيش قديم و متقطع . سندوتش عبارة عن قطمة . بصراحة مطعم مقرف و حرامية,طعم_سيئ نظافة_سيئة فساد_الطعام
الدليفري محترم جدا و كويس بس الاكل وصل بارد و مجلد و البطاطس بجد متتاكلش وحشه جدا مستوى الأكل بقى وحش اوي,حرارة_غير_مناسبة
الفراخ كانت ناشفة و صعب تتاكل و قطعة من ال٣ قطع كانت عبارة عن جناحات,فساد_الطعام
الطعم غير الاول,
الاكل مثلج,
الطيار محترم جدا ولكن المطعم اتاخر جدا في تحضير الطلب,
😊,
الفراخ ناشفة جداً و مش سخنة، مستحيل تبقى طازة!,فساد_الطعام حرارة_غير_مناسبة
المشكله الاكل جالي بارد مع انه في الشارع اللي ورايا,حرارة_غير_مناسبة
الاورد اخد وقت طوبل جدا الاكل وصل بارد الاوردر ووصل ناقص,حرارة_غير_مناسبة طلب_غلط
very late....,
Kmyt elakl n2saa,
اعد ساعتين عشان يوصل,
الاكل كان بارد والفراخ مش نظيفة,نظافة_سيئة حرارة_غير_مناسبة
اول مره يكون وحش جدا والفراخ سوده,طعم_سيئ
الفراخ ناشفة جدا لدرجة إنها مش بتتاكل، حاجة سيئة جدا,فساد_الطعام
الاكل جا بارد,حرارة_غير_مناسبة
افضل دجاج مقرمشة بلا منافس,
كله تمام,
الاكل سخن و طعمه تحفة و الساندويتش بيشبع جدا و ارز ريزو مظبوط اوي وسعره كويس و الاكل وصل بسرعة تجربة ممتازة 😍 استمروا علي نفس المستوي 🥰,طعم_سيئ
مشاء الله,
تمام,
الاكل مش طازة و صوص الباربكيو كتيييييير جداااااا علي الريزو,
كنت طالب الاوردر dark meat جالي white meat,
الكل حلو بس بارد جدا,حرارة_غير_مناسبة
gamedd,
شكرا,
جميل,
البطاطس ناشفة جدا والكول سلو قلييل,فساد_الطعام
حلو جدا خدت وجبة بخصم ٨٠ ج وحاجه عظمة الصراحة . بس زعلانه جدا من البطاطس كانت ناشفة اوي ، والكولسلو كان صغيير جدا بس تتحفة الصراحة 😁♥️,فساد_الطعام
الاكل المفروض قطعتين جايلي قطعة واحدة وصغيرة متكفيش فأر حتى والمفروض في بطاطس بس نسو يحطوها,كمية_قليلة
وجبه عائليه كبيره طلبت بعض القطع سبايسي والبعض غير حار وجالي الطلب كله حار واضطريت اشتري اكل تاني من برا عشان الاطفال لان مش هياكلو الاكل الحار وكمان قولت مش عاوزه اجنحه جالي في الطلب اجنحه واحنا بنرميها مبناكلهاش بصراحه تجربتي المره دي سيئه جدا,طعم_سيئ
قمر اوى 😍,طعم_سيئ
واحد خبز غير كافي .. لم ياتي مع الاوردر مشروب .. اللطاطس قليلة جدا,كمية_قليلة
اسوأ مرة اكل منها,طعم_سيئ
الاكل كان غير ظازج علي غير العاده,
الطعام جميل والطيار مهذب وسلوكه محترم وسريع والطلب اون لاين سهل ولكن عندي ملحوظه يااريت نزود الكول سلو والكاتشاب لانه قليل علي وجبه عائليه,كمية_قليلة
small portion this time البطاطس اقل من كل مرة ال ٣ قطع صغيرين جناح و ورك و قرقوشة صدر,طعم_سيئ كمية_قليلة
الاكل كله شكله بايت و متسخن و الفراخ كانت زفرة وطعمها وحش و طالبة الاوردر سبايسى جالى عادى,
مكانش متبل كويس و كان عادب,
الاكل حلوه جدا و الكميه تشبع و يكفي النضافه و حتي ابسط الاشياء مهتمين بيها و موجوده بوفره,
مكانش في تتبيل خالص,
Baaad,
وحش جدا ومالح وميستهلش اللى اتدفع فيه لانه اترمى فالزباله,طعم_سيئ
مش افضل حاجه,
الكمية قليلة علي المبلغ وتم تعديل عدد القطع السبايسي اتبعت ٧ و ٧ انا طلبت ١٠ سبايسي و ٤ اوريجنال الصوص اتبعت ٢ شيلي واحد باربيكيو انا طلبت واحد باربيكيو واحد جبنة واحد رانش,كمية_قليلة
مشركستويرمن جوة كويس و كان في ريحة زفاره في بعض القطع,
الاكل بارد للاسف اول مره كان سخن وكويس,طعم_سيئ حرارة_غير_مناسبة
الاكل رائع,
الفراخ بايتة و الكولسلو حمضان تجربة رائعة,
للأسف الفراخ بدمها وكلها زيت والارز معجن جدا,
حلو جدا والأكل نضيف جداا,
بعتلي الوجبة ناقصة ٣ قطع بكلم المطعم يرد بمنتهي الاستهتار ان هو اللي محضر الوجبة و متاكد من العدد و انه ملوش دعوة ، و لو انا مصمم يعوضهالي في اوردر تاني,طلب_غلط
الاستربس معنولة من صبح ومش سخنة وبطاطس من صبح بس فراخ فريش وجميلة,حرارة_غير_مناسبة
الفراخ كلها دم المستوى بقي وحش جدا,
The chicken was rotten حاجه منتهي التقزز والقرف,نظافة_سيئة
الاكل وحش جدا الفراخ بايته .وبتشد .فعلا تجربة سيئة جدا,
بجد شخصيه محترمه وذوق جدا,
تاني مره يجيلي الاوردر ردئ,طعم_سيئ
للأسف زي اي مطعم يتشهر و يبقي سئ,
كل تمام. وحلو ماعدا البطاطس,
حلو,
الفراخ مكانتش حلوه 😑,
الاكل بارد مش سخن!,حرارة_غير_مناسبة
قطع الفراخ كانت بايظة و معفنة حرفيا,فساد_الطعام
اول مرة الاوردر يجى من عندهم بالشكل ده الاكل سئ جدا انا بطلب من عندهم على طول الاكل دايما جميل و رشحتهم لاهلى و اصدقائي,طعم_سيئ
الاكل كان وحش جدا البطاطس مجلده و الفراخ مش مستويه صح و طعمها وحش اوي اساوء تجربه بجد مقرف جدا,طعم_سيئ نظافة_سيئة
ممتااازين,
فيه قطع صغيره كتير وهي وجبه عائلي!,كمية_قليلة
كان نفسي من فترة طويلة أجرب الريزو. طعمه مختلف عن أي مكان تاني. طعمه حلو وال سبايسي بتاعه سبايسي مش هزار. تجربة رائعة. وأنصح بها كل من يحب الريزو. والأكل وصل بسرعة وسخن. متشكر جدا. سأكرر الأوردر في أقرب وقت. 😘🤗,نظافة_سيئة
كان في قطعه مش مستوبه,
السناك بوكس الفراخ مش مستوية كويس,
القطع في الدليفري مش كلها كبيرة,
Almost 2Hours Delay👎🏻👎🏻👎🏻,
الاكل بارد للاسف,حرارة_غير_مناسبة
طلبت اورجينال جاه حار,
مش واو,
البطاطس كانت وحشه اوى بس الفراخ حلوه جدا,
طلبته قبل كدة كتير كان افضل من المرة اللي فاتت المرة اللي فاتت كان مزيت حدا و الطعم مش حلو بس جه بسرعة و سخن,طعم_سيئ
i ordered 15 and i got 13,
و,
الاوردر وصل من غير رز,
amazingg,
الاكل كان بايز تقريبا و تعبت و دخلت المستشفي بعدية,تسمم_غذائي
تجربة سيئة من المنيوز اسلوب الدليفري سبي جدا وغير لائق بالمرة والاكل اتاخر اما بالنسبة للمطعم فكويس جدا كالعادة والاكل جميل اخر تعامل ليا مع المنيون وهمسح الابلكيشن حالا👎,طعم_سيئ
الاكل وصل بسرعه عن الوقت المحدد وسخن جدا والطعم كان فعلا جميل تعليق بسيط حاولو تعدلو صوص الجبنه وشكرا جدا للاكل الجميل,نظافة_سيئة
7lw gdn gdn,
المفروض ان ال crunch box عبارة عن ١٠ قطع فراخ انا جالي ٨ قطع بس انا طبعا شبعت من ال ٨ قطع بس هي bad experience وانا عارف ان هي مش غلطتكو (elmenus) بس ياريت توصللهم وبصراحة انا اتبسط او من الاوفر والتوصيل كان سريع جدا شكرا elmenus,طلب_غلط
رائع جدا,
التوصيل في طلبات 5 جنيه هنا التوصيل 18 والضريبة غالية اوي. يعني باخد طبق تمنو 25 عشان يوصل عندي بدفع 50 جنيه مسخرة ولله,سعر_غالي
الساندوتش جبار حلو جدا إنما وجبة البروستد في غاية السوء بصراحه شاربه زيت كتير ومش طازه,
الاجنحه كتير,
تم طلب dark meat وراك بس ومجاش كدا .,
الاكل سئ جداا,
الاوردر جه متأخر نص ساعة عن الETA و كان بارد,حرارة_غير_مناسبة تأخير_طلب
الفراخ حلوة جداا بس البطاطس مش حلوة خالص والدليفري أتأخر,
سيء جداااااا للاسف بعد ما كان احسن من منتاكي !!! الطلب كله سيء!!!,
جبتوا صوص رانش بدل الجبنة 🙄,
الاكل كان سيء ومش مستوي للأسف ومعنديش فكرة ليه المستوى بيقل بعد ما كان ممتاز وده هيخليني مطلبش منهم تاني بعد ما كان من افضل اختياراتي.,
الاكل كان رائع لكن اول الاوردر وصل ناقص صوص جبنه,طلب_غلط
❤️,
زي الزفت,
زفر جدا الوراك سيئه اي حاجه كان فيها عضم وحشه اوي والبطاطس وحشه السلطه بس الي كانت حلو الباقي سىء جدا ماجربش اكل من عنده تاني ابدا,
اكل ممتاز ورائع,
تسلم اديكوا والله . بس المرة الجايه ان شاء الله اتمنى الفراخ تبقا افتح لأنها مقليه زيادة عن اللزوم ..والرز ملسوع وفي ريحه شويه مش حلوة . رغم أن طعمه جميل بس ريحته كإنه حمضان . التغليف ممتاز . التوصيل سريع وكابتن محترم . شكرا لكم 🌹,طعم_سيئ
ممتاز احلى فرايد تشكن بجد,
حضرتك بعتلى الرز من غير قطع إستربس,
الاكل جاه بارد شوية بس كان كويس,حرارة_غير_مناسبة
الاكل موصلش,
الوجبه كانت جيده في المجمل وساخنه، لكن الرز والبطاطس لم يكونوا جيدين,
تحفة,
الكمية قليلة عن كل مرة ☹️,طعم_سيئ كمية_قليلة
الاكل حلو جداً بس الريزو كان جاى غلط و كان أرز فقط و ماعليوش فراخ ولا صوص,طلب_غلط
اسوأ طيارين علي الوجود,
الاكل مجاش,
لتاني مره تأخير في التوصيل لمده ساعتين وبرضو مستلمتش الاوردر وخدمه عملاء المنيوز في ادني مستوي ممكن,طعم_سيئ تأخير_طلب
طالب اوردر من ١١ الصبح جالي ١ ونص الظهر وطبعا مستلمتوش. اخر اهمال وتخلف وقله ادب,
جيد ٨٠%,
احلى مرة بجد ياريت تبقى كل مرة نفس الجودة,طعم_سيئ
الاكل فوق الممتاز بس ولد الدليفري تابع للمنيوز خبط علي شقق تانيه و مش مظبوط كده,طعم_سيئ
الاكل جميل بس اتأخر,تأخير_طلب
غ,
اكل زفت وخدمة زفت و طريقتهم زفت و بجد محدش يتعامل معاهم بجد,
الاكل حار جدا جدا جدا تسبب لي بألم شديد جدا بالمعدة و تسوية الدجاج و جودتها سيئة.,
الاكل جميل والدليفري ممتاز شكرا جزيلا,
