username,date,title,text,rating,review_id,complaint_cluster
,9 July 2024,,"The sink itself is really cool, and we love the colour. The controls, however, are atrocious. We received gold coloured controls and they don't match the sink or the kitchen theme. It's not even a nice gold, and it's two different gold colours! It looks tacky and disgusting. We could have worked with silver, but gold? Come on.
Read more",,R29RKA01MW92DP,
,8 September 2024,,"Installation was painful. The connections require adapters for most US water lines, which are not carried by any plumbing store I could fine. Sink looks fine, but there are pieces missing to make the sink fully functional. After 6 months, the cheap faucet is not longer working correctly, and because it is integrated into the actual sink, the only way to replace it is to buy a new sink. So, looks like I get to buy a new sink.
Read more",,R1KB1PN0IA76HC,
,11 September 2024,,"I have mix emotions.1. The tub:is super cheap, wobbly and flimsy. It wouldn't hold a garbage disposal.My Solution: sprayed bottom with a OLD SCHOOL liquid bedliner then enamel spray paint.  It harden up beautifully.Con: The size of the inserts are not correct so they slip out. Potential solution:  I'm going to get a hard plastic document holder and slide the rails in it.PROS:  It is a beautiful color & texture. The texture on the inside feels really non stick.The Pipes:Con: The pipes that came with it were super thin and cheap plastic. No garbage disposal fittings. Also, the fitting did not fit standard fittings.Solution: got all new pipes with a garbage disposal kit. Found adapter for water fittings.Handle and water fixtures:Con:  The open and close valve Is unusable if you put a garbage disposal in. Solution I found a  Open and close the dreamy basket that goes into the garbage disposal hole. So I can still set the designed open and close cover that came with the sink on top. So it still looks really pretty. The dual waterfalls, the light bar, the cup washer is the whole reason I bought this sink.  The the spray handle feels kind of cheap but sprays great. 3 settings.  For the price and the look its fine. I LOVE the waterfalls and cup washer. So all in all.. I love it. If you are not handy don't get it because it needs the work around. But my brother is a genius and was able to create a master piece with it.  I will submit pictures once the counters go in.
Read more",,RJIFW9MTSFNJY,
,6 April 2024,,"This is the worst sick ever from the it just looks cool i just got it installed and its so many problems display is not displaying the draining pipes given to u suck! And i do not recommend buying this product i hate it 100%
Read more",,R1HE1GNS6ZBLBQ,
,29 November 2025,Exactly as described,"As described
Read more",5.0,R1JN3R8B4QW2EK,
,11 January 2023,Fair to price,"Good product but it has some scratches and edges is very sharp and hurt my fingers and plumber who fixed it in the place
Read more",3.0,R2OXOTDHUM35KR,
,4 May 2025,,"Received many compliments. Very aesthetic
Read more",,RLBWYR82UV4S3,
,29 March 2024,,"The sink and faucet are not black. It’s dark grey and shiny. Close to stainless steel colour. Doesn’t match my kitchen and I can’t return it already. The photo doesn’t reflect the actual colour
Read more",,R2FM3QJN8DMZRD,
,25 October 2024,,"Haven't had this installed for a year yet and it's already peeling... so frustrating.
Read more",,R12ESL1BNZOEBI,
,14 June 2024,,"The sink itself I loved until I found out that I couldn't attach the garbage disposal.  The drain of the sink is not made to attach a garbage disposal.  That was a deal breaker for me.
Read more",,RZ3DUUAETQANV,
,9 November 2025,Very bad plastic and aluminum,"Expect it to be missing pieces, with a cheap lightweight plastic coated with metal and aluminum pieces. Listing says stainless steel, but it far from it!!
Read more",1.0,R2UU0RXITYMZ41,
,21 May 2025,Need to ensure contents before receiving,"Product is the same quality is fair to the price but one of the covers to protect sharp edge is lost
Read more",4.0,R2X0B8D1BFD0GU,
,23 December 2025,Very bad material,"Very bad material
Read more",1.0,R3C1MX3JQZUUJ,
,1 January 2026,Good product,"Working good
Read more",5.0,R4Y46KHDUATXS,
,22 January 2024,,"Sink is leaking from day one and no response from the company.very disappointing.
Read more",,R3IKIXJB4J0Q5L,Defective
,19 July 2024,,"Good product
Read more",,R2BI9WGE6PZGM9,
,11 July 2023,,"Received the product in good condition, perfectly packed and all the items as described. Wonderful product with many useful accessories. Adds touch of elegance and functionality to my kitchen. Moreover excellent support from the seller, prompt reply for any queries.
Read more",,R1Q6553K7K6XMO,
,19 January 2025,,"Need 0.5 hp pressure pump to fork fine without pressure pump spray not work properly
Read more",,R3K3KBJ6DWG53D,
,10 February 2024,,"Sink is leaking day one
Read more",,R29JUT7NAULERM,Defective
,23 September 2024,Loved it,"Thanks for the useful info and being honest about the details
Read more",5.0,R88NP2SIGW5VM,
,27 November 2025,,"Best faucet I ever put on my sink
Read more",,R3RUFCR73QZ6PP,
,27 November 2025,,"Sooo very happy + got a gr8 Black Friday deal.
Read more",,RD6R58R2Z0TRN,
,19 May 2024,,"Not sure why the much more expensive one that I've had for years had such poor water pressure. It finally  got so bad It needed replacement. And no the screen in the head or nozzles were not pluged. This one is just has more water flow than the other one ever had. Installation was a bit tricky however. All the lines will not fit through the hand tightening securing tube at the same time. Disconnect the faucet line and feed it and one water line first. Then insert the securing tube and while it is way up in the bottom of the sink wrangle the other water line through the securing tube. Hard to describe but once you attempt the installation it will make sense. Tighten the securing tube as much as possible while the faucet is about 90 counter clockwise from where you want it  Now hold the securing tube while someone above rotates the faucet clockwise to the final position.
Read more",,R251E28WZILIGU,price
,7 July 2025,,"I am moving in six months and my kitchen faucet went up. I did not want to spend a lot of money on a new faucet hence this purchase. Well well well. This faucet is nicer: looks better and works better than my expensive brand name faucet. My plumber liked it, too, and asked where I got it. I am thrilled! Highly recommend!!
Read more",,R2H6JUN598LG3A,price
,29 June 2023,,"There are only instructions to the faucet in Chinese, and the parts do not line up as pictured, the cut washer and faucet seem very cheap but the sink and faucet base seem very nice. Disappointed in how it went together uneven and nit as pictured. Will be sending back.
Read more",,R6VB7L7VKDB3Y,
,5 April 2024,,"This product is great and is the same as shown
Read more",,R14Z77FTU0SDNG,
,4 November 2023,,"Poor quality, terrible customer service
Read more",,R314QGCQHW3K5A,Quality
,4 February 2025,,"Just what we wanted fitted into worktop nicely looks good very pleased
Read more",,R2A3YYGZ3IXLJJ,
,7 July 2023,,"Looked cheap
Read more",,RGBSG1O7C8UJC,
,9 December 2025,,"Love my new sink !!! It is not the easiest to install. We can’t figure out how to install the garbage disposal? Instructions were not helpful very tiny writing and no support.  For the price if it last a year, I’m happy.
Read more",,R3ONEH4GDOGVE8,
,28 September 2024,,"Works and looks amazing.  No problems with this so far!  Love the pans and cutting board!
Read more",,RERKD0IQDYPYH,
,16 December 2025,,"Love the sink but the cup washer leaks
Read more",,R3750IGXVWXSPU,
,14 August 2024,,"I love to sing I love the way it looks that being said it was a pain to put in and it leaks a little. Yeah also I had some issues with Amazon over billing with this item. Oh and I forgot the soap dispenser thing did not work. But the quality of the sink and everything that's attached to it is great absolutely love it.
Read more",,R2WT9AZ95RANGS,
,19 October 2023,,"**UPDATE* more paint has even peeled off the sink and it looks absolutely horrible. I cannot get a hold of Amazon to get the information for the seller. You can’t talk to a human being whether it be online or over the phone it’s always an automated system ** This is a lot of money to pay for a sink that in three months time has started to peel and looks absolutely awful *So very disappointed in this sink! Parts were missing in the sink and the sink was bent when we first bought it had to re-order another one. They did return it no issues but now three months later, and the paint is peeling around the knob to turn the water on and other places. Sink is all scratched and it looks horrible. I give it a zero out of five. I WANT MY MONEY BACK. Amazon was not helpful with giving me contact info for the seller, I requested and all they sent me was the link to buy the sink again. There is no contact phone numbers to call them.
Read more",,R3LJD88PWQA60E,
,4 June 2022,Box missing items,"Open box and the center drain was missing
Read more",1.0,R3BNKHF9AJFA0Z,
,18 November 2025,,"The faucet photo not matching the real
Read more",,RP7HXG4VQ0525,
,21 February 2024,,"Installed everything as shown but the buttons that change where the get is coming from are not working, and the clock/temperature part is not working either. I would appreciate some assistance!
Read more",,R2JOP52PKTJQRB,Defective
,12 November 2023,,"Instructions sre a bit lame but once it's together absolutely 💯 loving it
Read more",,R1TYPBEOLMFXWU,
,27 November 2023,,"Most of the hoses are not standard. I will have to be ordered through Amazon and are unfamiliar sizes so really hard to get them hoses that came with the sink all leak.
Read more",,R2OXJ6NBUJH9UG,
,31 August 2024,missing drain and cap for faucet hole.,"the sink is missing a drain and cap to plug the hole where I wont be mounting the faucet.
Read more",1.0,R2EONE6WLGXFZ8,
,16 August 2025,,"Don’t recommend buying I purchased this sink in April but it wasn’t installed by a licensed plumber till June and it’s been leaking from the knobs underneath ,slowly we barely realized it it also doesn’t allow the water to drain correctly we’ve had issues with it from the beginning. The only thing this sink has is looks it’s nice looking and has a lot of different gadgets but isn’t good at all for washing dishes. Very complicated to install also, not good value for what we paid and also not good quality. Do not recommend.
Read more",,R2WW2EAPMG3P4J,Defective
,5 December 2024,,"This is a luxury modern kitchen sink that has all the latest features like the cup washer. The kitchen sink set comes with plenty of accessories like a kitchen faucet and cutting board.
Read more",,RHXFEENYBGFUT,
,28 November 2024,,"This is a decent waterfall sink and it's incredibly well priced so you're getting a good value, but depending on what you're looking for it is not one of the higher end units. You must also keep in mind this isn't a high-end price.If you're interested in getting a waterfall sink this is a good entry level purchase. As the majority of the features that the higher-end models have it does as well but it's not as large and is manufactured.The higher end waterfall sinks are handmade with a larger waterfall on both sides and a bit more on the digital side of things.However, I still believe this is a great entry level waterfall sink and it functions properly and looks great.Until We Meet Again-Off the Grid Ken
Read more",,R1MBX53NXUHU6N,
,12 July 2025,,"I don't recommend this faucet. I installed it at the beginning of 2025, and after just six months it already has many scratches and looks very old
Read more",,R2CDMMLHNCE9BQ,
,13 December 2025,,Leider löst sich der Lack.,,R3NXOXNLW9TP5Z,
,1 January 2026,,"Bilan Après 1 an d’utilisation : évier à changer !! Merci .. au vue du prixpour ma part j’ai commander l’évier en couleur noir,Résultat la grille d’évacuation n’est plus noir toute la peinture est parti ce qui est très moche …ensuite la gâchette qui change le jet normal en jet douchette ne fonctionne plus donc jet bloquer en normal , ensuite le système de bouton qui passe du mitigeur à la pluie en cascade a prit tellement de je que 1 fois sur 3 sa ne fonctionne plus .. donc plus possible d’utiliser la pluie en cascade.Donc pour le prix un grand merci …",,RRDOXVM9OL1P2,
,13 September 2024,,"Hard working and want to be spoiled with a whole setup where everything is at your fingertips? I forgot I was in my own house with this sink and all the options! Glass rinser works amazing, veggies shower with removable mini sink and tray .. a cutting board and built in knife holder! I love THIS!!
Read more",,R2Q2O5OJAJ4NW,
,15 February 2024,,"Like I said, the instructions are useless. I have a bunch of experience with residential remodeling so I was able to figure it out.If you are a beginner, you may struggle with this one.1. The lines and threads are all common however one of the included shutoff valves would not thread into 1/2"" MIP. I believe it was made improperly as the other is fine. I just eliminated them.2. If you're using a disposer you will not use the included drain parts. If you aren't using a disposer all the necessary parts are included.The knob in the center opens and closes the included drain. I replaced this knob with a soap dispenser.3. You will need a 1/2"" FIP Tee with 3 nipples to make the faucet on the right work.4. The readout is in Celsius. I don't see a way to change it.The sprayer is badass and the waterfall is awesome.
Read more",,RMUQXEH5SBK05,
,24 November 2024,,"great sink.  we use most of the features.  tough to get used to flow and temperature on a knob but its ok.  lost a star for finish wearing off quickly
Read more",,R1WPJRZF6KEV42,
,11 February 2024,,"I looked for a long time to find exactly the right sink for me. I love all the parts I can keep my water temp on hot and turn the two water flows on together or separate as well as the cup washer. I never have to guess what temp my water is or how long it has been running. it is sleek and easy to clean and comes with so many extras check out the video mine came with everything in the video. This is my favorite purchase in my house.
Read more",,R27O3AIM3EEB1B,
,16 April 2024,,"Bought this sink for our kitchen renovation and since day one it has been one problem after another. The plumbing that comes with it is plastic that leaks from EVERYWHERE, half the pieces don't even fit. Along with the piping leaking the faucet area leaks. We had to purchase mats for under the sink because unfortunately we cannot afford to buy a whole new sink. It is very pretty and has so many features but Along with those features is a mound of problems.
Read more",,R16C8X7I2IST01,Defective
,5 August 2024,Good quality-price,"Received all 2 pieces, a little different from the picture but it works fine anyway.Good quality for the price you pay.I have been using it for few days now and I had no problems so far
Read more",4.0,R1EC1OSL8BD8VD,
,4 August 2024,Too big,"Doesnt fit to any sink
Read more",1.0,R1370K2CZTYXDS,
,5 October 2025,,"Exelente producto
Read more",,R3IWGFUE2M3CRB,
,2 September 2024,,"First issue I had with this product was after few weeks of using, the water drain was blocked every few days, I tried to contact the seller, but he didn't even bother to respond it so I gave up. It's not even been a year since I bought it, and the paint has started to peel off and is rusting in places. I don't recommend buying it, money down the drain.
Read more",,R3P0S3PL6NVBUT,
,14 October 2023,,"Astheticlly very nice, great size and love the overall style and colour.Sink feels cheap, all the metal is scratched and tarnished.Waste pipe leaks and no idea where to get a replacementCurrently leaking as the seals don't seem to be adequateLittle tap for water doesn't attach to anything, further fittings requiredNot the sturdiest
Read more",,R210PI1OV9QB19,Defective
,10 July 2023,,"No one has received their broken product yet and I have no refund
Read more",,R215XPS282FDBM,Defective
,26 July 2025,Very pool quality and missing items,"Very poor quality and poor material and boxes received damaged and always have missing itemsThe quality of the product is not recommended
Read more",1.0,R1FQYNQ1GXXYUL,Quality Defective Missed_item
,26 July 2025,Low quality and missing adhesive elements,"Very low quality and missing adhesive elements to stick to the wall and items poorly wrapped and it’s not a recommended due to low quality
Read more",1.0,R1OKW7NZQOZ2SC,Quality
,19 September 2019,,"Bought one 2 years ago,  and loved it but it started dripping badly.  Since then,  have tried others but none come closer to these.  It's my preferential shower head now. Also, it has increased the water pressure(old building, old pipes, poor pressure). Fantastic product.
Read more",,R24FI7N7G9AB3N,
,6 October 2019,,"was dubious about the claims made about these showerheads, but i must say so far i'm impressed, can't say if it is doing any good for my skin, but does feel good on the rainfall setting, the jet feel a lot softer than my previous showerhead, and the head holes have not clogged up due to my hard water supply and impurities therein, so must be some benefit from filtering the water
Read more",,R38RRLUEZ9ETGS,
,13 September 2019,,"A great shower head which results in a well-drenched shower experience!This is my third ionic shower head, although the first with a variable spray.  Water output is as expected, having used both an electric shower and pumped systems.  When it comes to cleaning, simply remove the beads and soak the head in warm, soapy water.  To re-energise the spray, remove the metal plate and soak in some limescale dissolving solution - with a little scrubbing to finish it off.It's too early to comment on longevity but it's a great head and showering experience.  The only negative was the over-sized rubber ring inside the head, which made for a poor seal and an irritating leak.  No need to return as I robbed the seal from another head which was damaged after being dropped.
Read more",,R12TSFLOFW294A,Defective
,4 July 2019,,"I was pleasantly surprised I really didn’t think it would work but so far it is good it’s increased the water pressure like it says . It was easy to install just screwed in to the hose I like the switch on the side to change the jets I think it was great value for money.
Read more",,R18XZXWBJ79M1H,
,12 January 2020,,"It’s an improvement on our previous shower head, but not the magical solution to low water pressure.  Not able to use the setting where it combines the inner and outer rows.  Maybe water pressure too is low?  The water filter beads do seem to soften the water.
Read more",,R10QAIVNQHBWDQ,
,26 July 2025,Very pool quality and missing items,"Very poor quality and poor material and boxes received damaged and always have missing itemsThe quality of the product is not recommended
Read more",1.0,R1FQYNQ1GXXYUL,Quality Defective Missed_item
,10 April 2020,,"It's working and easily installable. However, I cannot check what it promises. It might filter metals, but the bad smell (sulphur-like) from the water here in this place in Netherlands, has not gone.
Read more",,R13WOMUTOR4MSP,
,23 May 2024,,"Still see limescale on shower glass. Maybe it is reduced but hard to comment
Read more",,R1QJX490DNGCVD,
,10 April 2020,,"Plastic but well made.Cannot seem to smell any clorine in the shower, flow is good.
Read more",,R1RLC3VMRWTLJ3,
,1 November 2025,,"I got this as a surprise for my wife.  It was pretty simple to install.  The instructions could have been a little clearer.  But she couldn't believe how much better her hair felt and behaved!  Definitely worth the money.
Read more",,R1X3K5XHYHLSL5,
,21 April 2023,,"I bought this specifically for water harness as the advertisement mentioned it helps with itchy skin, dandruff & harsh water. We installed it and tested the water. No difference in water hardness unfortunately. Had to return it.
Read more",,R380QKXFETMFR0,
,21 March 2025,I want to return it,"It is not fitting my shower type it needs another type that is fixed not movable ones
Read more",3.0,R2M2966YZ7HB27,
,23 October 2025,Useless,"Useless, still full of chlorine
Read more",1.0,R3CNL2CVBTNRL6,
,15 February 2024,Showerhead part fell off on first try,"We don't even have much water-pressure here in Egypt and the showerhead almost fell on my head on the first shower, lol! Scam
Read more",1.0,R4DHKN3IRR9B,Cheating
,11 December 2025,,"Excellent product and fits really well. It’s a matter of time to realize the benefits. Although Amazon is one of the best BUT still fall short of interacting between buyers and sellers for any queries.
Read more",,R1CCMXEW5QHP74,
,15 August 2025,,"Easy to install. I am observing that my hair-fall lowered. Note that, betterment of hair takes time. Need to use at least couple of months along with other oils and better shampoos too. Overall, suggestible product if you are getting hard water.
Read more",,R2BSA5AT7AZ87Q,
,30 November 2025,,"I’m really happy with this shower head and filter. It was super easy to install — took just a few minutes. The water pressure is amazing, way better than my old shower. After using it for a few days, I noticed my skin and hair felt less dry and my curls felt softer.If you’re dealing with hard water, this definitely makes a difference. It also looks nice and feels sturdy. Worth it for the price!
Read more",,R387Y66JYIPRBB,
,30 September 2024,,"How to install this on the wall? There's no instruction
Read more",,R16FEZH9S5GPQQ,
,12 January 2025,,"Good value for money
Read more",,R2Q7RHEGTE2DDX,
,26 July 2025,Very pool quality and missing items,"Very poor quality and poor material and boxes received damaged and always have missing itemsThe quality of the product is not recommended
Read more",1.0,R1FQYNQ1GXXYUL,Quality Defective Missed_item
,7 January 2024,Yes,"So happy with it
Read more",5.0,R2PYCWJTHJX5AX,
,26 December 2024,Good metal material,"As described
Read more",5.0,R3QSCX4L1EQATE,
,19 September 2025,,"Got rusty in a couple of months, I had to change it in one year of use. It's bad quality because I had a different brand before this and I use it for 5 years
Read more",,R1K1E5M343DAJ4,Quality
,12 November 2020,,"The downpour is ahhhhhhhh and it is so cheap especially comparing to any stores. OMG!!
Read more",,R1SI3TR8T0C7ZG,
,3 September 2024,,"Straight from the box easy to fix as a replcaement, no need for plumber.The floor of water feels theraupeautic and not wasting water, very thin panel so water hardly stays in so less cleaning will be required (hopefully as I just started using it)
Read more",,R2HVZHL2OR63IB,
,20 December 2022,,"Beautifull shower head. Huge! Realized that it is almost too big. cant really step aside to let the cold water run off when you are in a shower cabin. Love it though.
Read more",,R2KK5ERFPE69LQ,
,24 February 2019,,"Der Badschlauch ist sehr stark und die Farbe ist sehr schön und sieht sehr sauber aus.Die Installation ist einfach, das Material ist dick, die Härte ist moderat und die Qualität ist sehr gut.",,R23GN36NGH2O2W,
,6 April 2019,,"Il est parfait, beau , souple et facile d'installation et d'entretien pour un prix moindre !",,R2IB3VWKEEX273,
,6 June 2020,,"I love this shower hose. After years of trying to get bit of hair out from the joins in the standard type hose and bottles of spray to remove the scale from hard water, makes me wonder why I didn't buy one before. Glad I came to my senses!! A wipe down with a damp cloth and no stray hairs. Perfect!! The longer length is handy too. I can now tackle areas of mould on the bathroom ceiling without having to get the ladder and a bucket!!
Read more",,R2N1NOH5755ZO7,
,28 December 2024,Excellent priced product ! ⭐️,"Buy it !
Read more",5.0,R38SWRU97LAKGZ,
,28 October 2025,Shower head,"Price is a bit high for the quality
Read more",2.0,R17LO1R5C6S03W,
,26 July 2025,,article conforme livraison rapide et très bien embalé,,RPM4UG4G2FQ0O,
,1 November 2025,Bad quality and totally different color.,"Bad quality and totally different color.
Read more",1.0,RMYZ7TKBPRYKB,Quality
,1 July 2025,Poor quality,"Cheap materials Very poor quality
Read more",1.0,R2RZIS1KOUR9G8,Quality
,2 August 2024,Great,"Serves the purpose well, although the water head looks a bit poor quality.
Read more",5.0,R3MGI63HYSAC7C,Quality
,29 October 2024,Very good product,".
Read more",5.0,RB3CZ3YXL0UVT,
,30 October 2024,,"The Ecom City Shattaf Set Bidet Sprayer is a great addition to any bathroom. It has a durable stainless steel hose and adjustable water pressure options. Installation was easy, and it came with all the necessary accessories. It’s reliable and functional, and I’m very satisfied with my purchase. Highly recommend!
Read more",,R14NTBRN4IOVIB,
,2 February 2024,,"The Shattaf Set Bidet Sprayer has truly transformed my bathroom routine. This hand-held shower spray brings a new level of cleanliness and comfort to the toilet experience. The set is easy to install, delivering a refreshing spray that's both adjustable and effective. Its quality build and thoughtful design earn it a well-deserved five-star rating. If you're considering a bidet sprayer, look no further – this Shattaf set is a game-changer for bathroom hygiene and comfort!
Read more",,R3U37N3HTTTR4E,
,24 June 2024,,"Used for less than 2 months then the presser broke
Read more",,RTCK3416DZTUV,
,19 July 2023,,"The first one that I bought was excellent.  However, the second one was leaking on its bidet head.  I have tried every possible way to stop the leak however, the leak did not stop so I decided to return it and get a replacement.  Hopefully, third times the charm.  Overall is ok.  Great quality.  The replacement is not leaking.  Awesome!!!
Read more",,R2NJ4MNO7VYK2Z,Defective
,19 March 2025,As expected,"Good product and good quality
Read more",4.0,R2SG82Y8UE5X3Z,
,8 September 2025,,"I bought the violet blue colour and I am happy with my purchase of this toiletry bag. It is a big enough to hold everything I need and I like the multiple, secure pockets and the hook for hanging is handy. The feel and quality of the materials is good.
Read more",,R3VYPN8EKKV8V6,
,9 December 2024,,"All ok
Read more",,R1OUU2OFXIDYA2,
,26 August 2025,,Bin sehr zurfrieden.,,R3IHM79XN8ICU0,
,31 October 2025,Worth to buy,"It's good and worth to purchase
Read more",4.0,R3UAG1UVHCTR0A,
,7 May 2024,,"Was to easy to install, Top quality in affordable price and the glue tapes were too usefull
Read more",,RUX2HW078R9BC,
,18 June 2024,,"It is not that big as it appears in the photo but good enough to keep 4-5 containers.Frame made of metal so it is solid and sturdy.Glue is also good so adhesion there is no problem.
Read more",,R1DORFSGUECMRA,
,18 May 2024,,"Very nice product. The glue works well.
Read more",,R34E0WFA485QNR,
,7 April 2024,,"The product is small units width
Read more",,R291854YT7LTYT,
,19 July 2024,,"It looks strong.
Read more",,R1GPYMD60QSR7C,
,28 October 2025,Cool Shower Head,"Exactly as described, Led shower change colors, good water flow
Read more",5.0,R2V80PTFMJ0DNO,
,22 May 2024,,"This is a great product. I would recommend.
Read more",,R7B4LFYZYGXQ0,
,4 October 2023,,"Fun and practical product.
Read more",,R6XKFLHADD162,
,22 February 2025,,"Looks great, works exactly as intended, good quality.
Read more",,R1KY26KN549O0X,
,14 May 2023,,"Bad quality, not having filter inside, holes very small easily stuck, fan is just a toy and cut off button leaking
Read more",,R24NZNF7VZ5WI7,Quality Defective
,21 January 2024,Material,"Very weak material and quality of colors and drawings on it is very bad
Read more",1.0,R36FYGE4D39CCH,Quality
,14 February 2025,Good,"Good
Read more",5.0,RZAI6EECEFGYG,
,27 December 2023,As the picture but,"The product is as the picture. So beautiful. But the quality is very cheap. The fabric is as a garbage bag. Very very very thin. It should rip in few days …
Read more",2.0,R1GAOK9LOKYS7F,
,16 December 2023,Bad quality,"Very bad quality
Read more",1.0,R31EMHHP8U54CW,Quality
,11 November 2025,,"Excellent value ! Needed a replacement showerhead for guest bathroom and this delivered above expectations.  Good pressure, nice variety of settings and easy to install. So far so good.
Read more",,R2BIHPQNU4GOYK,
,13 October 2025,,"Works great
Read more",,R2CWD9X8DVPPJ3,
,15 September 2025,,"Doesn't fit for ant tap or shower and don't see star rating it's jimmik by Amazon.  Don't fall in scam. No return accepted...
Read more",,R3CXZ1V1FITXZ2,Cheating
,25 October 2025,,"very poor quality
Read more",,R13OYM11UTJGG,Quality
,4 November 2025,Great buy,"This was great. Just what I needed to remove the water from the shower fixture. Perfect.
Read more",5.0,R30XV5OBADV1VI,
,21 May 2025,,"Long lasting and easy to useCleans evrythingPerfect size and design for corners and and easy to use.And it's even cheap.
Read more",,R17Q69NYJN12GE,
,3 March 2025,,"Good product
Read more",,R2G23HMUWLC5R3,
,14 September 2025,,"Does the job nicely
Read more",,R2MFD6UOMPDYJQ,
,13 July 2025,,"Average item
Read more",,R17ILGXHUB5BPY,
,19 August 2025,,"Very comfortable and compact....nice product
Read more",,R1C1LP0JXCQ3B3,
,18 September 2025,Good quality and price,"Good quality and price
Read more",5.0,RZT1YJ18HWQ7G,
,2 December 2025,,"I have had this shower head installed for about a year now and it has held the test of time. It fits well in our standard apartment  bath/shower combo and gives it an elevated look. The pressure for handheld is super strong and I appreciate the different modes to accommodate washing your body, hair, and the shower/tub itself. It was easy to install and i didn’t have any leaks with the main shower head or the hand held. It also really pause on the handheld shower head. the handle for the handheld has also stayed stuck to the wall without any movement. I would say this a pretty durable shower head with my only caveat being that the on/off cover came off and wouldn’t stay on. I caught it on a deal and it was worth the price. I would buy this again
Read more",,R2VOHCDOZ4OK9,
,23 October 2025,,"Very happy with the performance and value. Shower head looks nice, is built much better than expected (feels sturdy) and easy to install. I'm not crazy about the adhesive mount for the handheld portion, but it is a necessary compromise since I'd be less happy with drilling screws into a fiberglass shower. Be sure to clean the area with alcohol prior to sticking the mount on. Also be sure to use the included thread tape to avoid leaks (no leaks at all on ours). Handheld hose is longer than anticipated, making it great for rinsing down the shower. Selector knob allows for the use of either head or both heads at the same time. BEWARE--when changing from rain to handheld, the water left in the hose that comes out first would make a polar bear shiver if you're already happily engaged in a steamy shower. This isn't a defect or flaw, just how any shower like this would work.
Read more",,R2Y3E970E1LGAR,
